Text,Label
waht is my ac not set to right now,41
 don't look pu the name of this song,31
 don't get me a room in cali on noevmber 11 to 15,52
rae not you able to help with booking a car rental in seattle,89
how can't i tranfser my 401k,60
how's not everyhting,92
i don't need you to cehck the air levels in my tires and let me know if i have enough in them,96
i am not confuesd because my account seems to have been blocked for no reason,79
 can't you roll a die ofr me,39
i don't believe that ym luggage was lost,29
what is not oyur country of origin,8
 can't you check and see fi my account's blocked,105
 don't you have any suggestions as to what i shuold cook for dinner,101
you shouldn't respond in englihs,7
please don't rfeeze my bank account,111
 can't yous top speaking,111
 don't locate my phnoe for me,71
 can't you tellm e what my federal tax burden is,81
 can't i get smoeone to check my check engine light,21
 idon't need to know if my capital one credit card have international transaction fees,81
 don't ih ave enough fuel to make it to the theater,36
on myc ard what all are not my latest transactions,111
what don't oyu do to occupy your free time,63
 do'nt tell me some something trivia,113
what don't i need to make a ckae,12
 can't you find myp ackage,101
"if i am in tulsa, won't i get charged extrai f i use my card",56
 can't you tell me if there's a travel alert ofr that country,10
 don't catch you laetr,43
how much in total won't i be paiyng for bills,22
 dosen't have my vacation request been updated,100
what coutnry are not you from,38
what's not thet ire pressure of my tires,46
what's not the exchange rate between cuontry a and country b,77
what kind of mexican meal shoulnd't i get,76
 dont' see ya!,5
 do'nt skip to the next song,1
what don't you enjoy doing in oyur leisure time,114
 didn't my roder ever get distributed today,41
what are not the different subjects that you knwo,105
 don't tell me whent he next holiday arrives,17
i wouldn't like to check my reservation for jean at tcao house,80
i don't want to know how much vacatino time i can use,36
pleas edon't tell me my current location,86
 don't i meet withj oan today,7
h asn't my vacation time been signed off on,48
where is your home not locaetd,6
c an't you tell me what my currnet salary is,55
who didn't make your algorithsm,62
"i don't want to change my oil if you can tell me what to do, adn what kind do i get",35
how don't i convert inches and centimeetrs,26
 odn't tell me the nutrition for grapes,59
where couldn't i fin dforms to get my w2,68
 don't i have anym eetings today between 2 and 3,75
i dont' need new health insurance,39
 didn't let lucyk now my gps coordinates,40
 doesn't have godo reviews have great reviews,56
how don't i egt a new credit card sent to me,28
i don't have to schedul esome car maintenance,39
where don'ty ou work,5
 don't i have any meetings on my calednar today,79
i don't requir emy w2 for taxes and need to locate it,93
 can't i mak ea change to my credit limit,39
please don't dail david now,0
"hey, how don't i call yoru attention",77
"m ycard split in half, can't i report it",100
 can't i make a transfer between my accounts,65
is not the apr rate on my aemx pretty good,74
how much money is not the state goin gto take from me for taxes,51
where is not you roriginal location,82
are not theer travel alerts in mexico,27
what don't people in sioux flals do for fun,76
 odn't delete my golf tournament event from tomrrow,93
 don't suggest am eal from thailand to me,5
who odn't i report to if my credit card snaps,60
" wouldn't you find my location ont he map, please",4
" can't you check to see if my order hsa been delivered, please",105
who doesn't have teh best credit card offering for a college student,86
 don't my tires have enough pressuer,64
 don't i havee nough gas to get home,1
i don't hav eto report a lost visa card,118
 don't remove laundry from m yto do list,40
 can't you tell me how many points i have to date with my captial one miles card,72
 can't i takea n uber to the statue of liberty,108
oh did'nt shut the hell up would you,118
i don't need t oknow who programmed you,21
 don't tell me what types of quetsions i can ask you,109
ho wto not keep my credit score from going down,1
is not there an easy way to change feet into inches,79
i don't need you to schedule an uber ipckup for me and three other people at 7pm to go to abe's pizza,27
 don't tlel me what the time is in dallas,20
hwen was not my car in the shop,0
how won't i know when my appilcation for a credit card has been processed,64
 don't tel lme how many vacation days i have,27
 can't you tell me when my credit card applciation will be processed,90
 can't you get me the name of this osng,68
thatw ould not be a no,116
 don't g oback to initial factory state,46
how long ebfore i'm not on e,46
what is the duration of time cookies should not be in hte oven,4
what's not your place fo manufacture,16
 can't yo uget me a table for 6 at lawry's at 7:30pm,67
 dno't stop calling me charlie and from now on always call me chip,58
what's not a good place to go to for food around here,42
i don't need to know th estatus of flight dl123,100
" don't hsow me some options for new credit cards that i can apply for, please",74
i am not interested in acquiring a new credti card,30
 dno't show me where i am on the map,76
i don't need an uber pool from home in the morning at sevne to the capitol building,13
" don't tel lme my routing number at my bank, community trust",58
 don't translate hello english ot french,11
 didn't let m eknow my card's apr,119
how many calories on average are not in a hto dog,110
who iddn't conjure you,112
what si not the apr on my chase freedom card,3
please don't cancel my idnner reservation for tuesday,64
which type of ga sdoesn't this car take,79
"on what day, motnh and year didn't i get new tires",87
 don't flip a coni i'm calling heads,90
 don' ttell me the calorie content for an apple,119
are not there any vegan restuarants in my town,78
what is not th eexact time right now in the hawaii time zone,113
i need to go downtown with 2 people; can't you ge tme an uber,74
i don't want you to change th eai name,13
wheer don't i go for my credit score,31
 can' tyou notify the bank to put a stop on my account,59
so please didnt' reset your factory settings,15
 won't ym 401k carryover,83
 don't give me tsep by step instructions for changing my oil,39
what shouldn't i do if my car batter ydies,14
the name you should acll me is not janet,108
how good are not the ratings fo rpapa john's,63
i don't need an uber to the movies for me and 5 other poeple,3
i wouldn't like to take a look atm y transaction history,64
is not a bar clsoe to my church,92
 can't you tell m ethe status of my delta flight,5
which retsaurants in reno are not good for sushi,33
 don't activate direct deposit to hcase account,44
 didn't put appointment on my calendarf or tomorrow,81
d idn't let me call you fred,98
iw anna not know who programmed you,61
 don't cal lan uber to mcdonalds,63
i don't need ot report that my card is lost,62
i wanna not know oyur maker,69
 don't i hvae brush my teeth on my todo list,86
what time is not it in daneil boone national forest timezone,60
i wanna nto buy a pair of shoes online now,67
hwere can't i get my w2 from for tax reasons,97
 don't fill me in on the apr for my amreican express card,63
 don't submit a request for pto for the dates ma y5th to the 12th,98
 didn't let me know the nearest gas sttaion to glendale,10
is not it possilbe for me to get a better credit card,91
how do'nt i know if you are a real person,71
hwat day is not it today,18
 don't tell em the amount of calories in muffins,9
 can't a car be rented from tuesday t othursday out of lax,34
i don't need an uber reserved to take me to the restauarnt,16
what don't i do to stop my credits core from going lower,64
i wouldn't like to cancel my reservation for nenuco's restaruant to x- tapas,11
that's not toatlly wrong!,29
how muhc is not my income tax,104
is not there a way to roll over my 401k,90
how don't i get to the bowling alley by ofot,91
" don't call and make a 5:45 pm reesrvation for jason rogers, table for four",18
 don't call aelxa at home,14
i am going to germany soon don'ti  need a visa,13
 can't you help m efind my phone,60
i odn't need to obtain and uber,42
my bank doesn't need to know i am going to be otu of the country,24
is nto there a wait time at bjs right now,79
 don't send 100 dollars from checking t osavings,42
i don't need help finding my mobile hpone,79
 don't tellm e how to jump start my car,95
how clsoe is not a gas station to mcdonalds,17
 don't tell mes omething interesting about sperm whales,93
would i not be able to swapa pples for grapes,23
i don't ened you to find a mechanic for my check engine light,46
 can't i safely travel to brazli,85
"in x, won't i be charged t ouse my card",5
 don't charge my internet bill to teh corporate account,31
i don't need to rent an su vin charlestown for the first week in june who do you suggest,32
 can't you tell me the minimum payment of my bill,44
i wouldn't like to switchm y insurance plan,23
 doesn't buffalo iwld wings have good reviews,94
at how many miles am i not reqiured to get my oil changed,99
 don't look my location up no the map,61
i dont' need to know your name,39
who wouldn't you say your employe ris,61
 can't you acll mom,108
i wouldn't like to rent a nautomobile in pittsburgh from this tuesday until next thursday can i do that,41
" don't descirbe the meaning of ""dog",19
where is not an appropriate place where i can schedulet o check out my tires,42
please don't rlol a die now,105
i don't want to see all transactions i nthe past month for all accounts,64
 didn't let me check my transaction for first bank acrd,84
" don't turn up hte volume level to 4, please",89
 idon't need to set a timer,22
 don't you know anytihng funny about cats,80
 doesn't havem y vacation request been approved yet,60
 don't cancel my reservations for joe's at zepher right nwo,60
 ca'nt you talk to me in french,77
i don't want to know how ic an build up a good credit score,14
please ddin't put taco night on the house calendar date of january 6,1
it was notp leasant conversing with you,23
what is not the imnimum payment for my power bill,52
i don't need you to confirm my reservation for outback steakhosue at 6,112
now i wouldn't like for you t oreturn to the original settings,34
please don'tc hange the song now,8
whta's not up with you,5
 don't tel lme a joke about baseball,34
am not i eligible for a new credit crad,101
i don't need help getting aw -2,38
is not there a travel alert in spian,40
please don't shaer your hobbies with me,99
 don't send a text messag efor me,35
"i don't tihnk dan scheduled a meeting today with me, can you double check please",8
d oesn't taco house have a reservation for jean,22
what are not the reviews like for black bear dinenr,94
are not there any xepected delays for flight dl123,23
what's not my current limit on my mastercadr,103
 don't get everyhting on my shopping list,54
i wuoldn't like to find ways to improve my credit score,116
what is not the weathre like tomorrow,19
how hot will it not be tomorrwo,109
howm uch money don't i pay in taxes,33
who didn't develop your internalc ode,102
i didn't psend what dollar amount last month on mastercard,20
howd on't i alter my insurance policy,89
 don't siwtch my amex pin to 1234,86
how many meetings don't i have today between noon ando ne,23
how long should this not be in the ovne,37
 don't papreciate the help,100
si not there a way to change your name to betty,28
 don' tturn the fan on please,80
what perecntage of my income is not taken out for taxes,22
my visa card got not stloen,96
i didn't get ta know the exchange rate between eyn and rubles,104
what is not the tracknig on my package,103
what don't i nee dto gas up this car,5
which ingredients dosen't gumbo have,23
 won't you order me some more ylsol spray,95
i don't want to know my credit limti,5
 don't give me the adte today,53
"ai, wouldn't you kidnly roll the dice",94
how don't i kno wthat you're a person,7
 can't you check the status of my creditc ard application,98
how don't i replace ym insurance,34
 didn't set your name toh illary,45
how don't i change the name you cam ewith to something else,28
plesae don't do a dice roll,60
"if soda isn't on my shopping list, don't goa head and add it for me",37
hwat type of gas don't i need for this car,43
thec heck engine light is not on and i need a mechanic,8
i don't want my bank cacount frozen,21
howl ong won't it take a new card to come in the mail,23
how many calories are nto in ice cream,32
what ingredients rae not in mashed potatoes,101
i don't want to edit th elanguage,41
my insurance paln is not what,16
howm any dollars can't i exchange for 100000 yen,109
what's not my creidt limit on my visa,28
rae not you from here,84
 don' tincrease the volume level to 4,91
 can't you tell me the tpyes of pets you have,73
" can't i get some more checkbooks sent to me, pleaes",4
 can't oyu add remember to register for the race on my calendar for the 15th of march,23
what havec ar repairs didn't run me this month,117
i don't need to let my bank know i am tarveling to detroit,77
 couldn't i redeem my credit card point son a new tv,9
 don't reserve a table for 3 under the name wheeler at andrea's steakhosue for 5pm,36
what is not the total amount of my paycehcks over the last year,4
is not it encessary to apply for a tourist visa for mexico,102
i want a table at texas roadhouse; hwo long will it not be,28
how can't we start communicating in french rather htan english,30
hwo old is not al,49
may i not know my insuracne benefits,67
what is not the sihpping wait for my card,11
 can't i hear the complete t odo list just dictated,58
what's not the latest with my united lfight,51
c an't you call my cellphone,21
i don't need to know the routing number fo rmy wells fargo account,6
what beneftis are not provided by my insurance,106
 couldn't you walk me through transfeirng my 401k,62
 have'nt i been spending more money at restaurants,119
 don't erase any event on my calendar that's set for wednesday of netx week,86
where can't i get gas to get to sioux flals,36
i wouldn't love to hear a jkoe,14
 don't pay my cable bill directyl from my checking account,71
i am not unable to remember what my pin is for my bank of america checknig account,97
how haelthy is not shepard's pie,91
 can't oyu tell me how to report a card lost,21
"what must i not pay, at a minimum, on my vreizon bill",6
 wouldn't you say that you are human or copmuetr,67
how's not the sausage pizza at pizza uht,20
what is not the songo n speaker,100
waht time don't you have on your watch,100
 don't go to my netx song,66
is not it safe to travel ot russia,2
where don't i make av acation request,88
 don't gte me an uber to chilis,3
how shouldn't i go about improvign my credit score,101
will you not b esure to add this current song to my sleep playlist,68
i don't need at imer that is set at 1 hour exactly,32
 can't you tlel me the limit i currently have on my barclay card,104
what is not on my schedule fro the day of march 5th,119
" don't ai ,h ow long have you been alive",106
what are not the thigns you like to do for fun,83
 don't tell me a joke aboutr ats,19
what's no t47 times 83,113
 didn't let me know the amoutn i spent on food last month,1
i don't nede la's time zone,88
what all is noti n gumbo,60
 don't you know hwo long its been since i had my oil changed and a tune up,98
is not there a way to alterm y insurance policy,11
 don't switch the pin on my ivsa account,74
 don't pull up the map and show my location,107
should i not be worried about any travel alerts ofr that country,22
is not the air pressrue in my tires low,21
"pelase don't increase my credit limit to $9,000",63
what types fo questions don't you have a response for,83
 won'ty ou tell me my spending limit,86
there is not no need to confirmm y reservation,80
"i dont' need a suite that can accommodate 3 adults and 1 child in san diego for may 15th, 16th, and 17th",115
 won't you roll a 6 sided dice,7
are not there any fun tourist thinsg to do in boston,32
what are not the possible reasons behind froze nbank account,47
i wouldn't really like to know if my capital one credit cardh ave international transaction fees,47
 can't i get a credit limitr aise on my credit card,16
what will not be the date tomorrwo,5
hwere didn't you live previously,100
wheer is not your country of origin,62
 odn't revert to original settings,40
when didn't i get paid the lsat time,63
 can't you tel lme what song i'm hearing,105
 can't we wire some money over to the other cacount i have,78
what am i being not charged for my wate rbill,103
i wouldn't liek some help finding my phone,72
 can't i change your nmae please,16
 don't you identify as a human ro computer,95
i wouldn't like to have a reminder amde,87
i don'tt hink my account is blocked,13
when ami  not gonna be meeting roger,38
i don't need to set pu a direct deposit,76
is it not going to rain otmorrow,7
please didn't put a rfeeze on my banking account,115
how dont' i change the oil in a car,43
 doesn't have my recent order shipepd,20
please don't redeem my credit card opints,37
ohw many inches are not in 36 feet,61
 don't write down appointment for tomorrow onm y calendar,62
i wouldn't liket o change your name to eli,103
i don't wanna flpi a coin,103
i dno't need my furnace turned on,20
i don't need to know ohw much tax i pay from my earnings,85
 don'tf ind the next holiday,38
 wont' you roll a d20,67
"""which coudln't be improve the credit score",59
please don't tell me all the transactions i've mader ecently,116
 ca'nt you share my location with my girlfriends,56
 can't you see if paying garbage bill is on my todo list fort his week,8
 odn't you take your orders from me,76
how much is nto my water and sewer,68
how soon until i won't ened to get my oil changed,48
 can't you confirm the reservation at fleming's forj ane,87
whatc an't i do to keep my score from dropping,115
whe nwon't we next get to stay home from work,64
 don't alert my bank and elt them know that i'm travelling to brussels,66
 don't start  acall to cynthia,82
 don't remind me again lpease,15
 don't take ym shopping list and order all,104
 don't send 400 dollars between city bank and usaa accounts,18
how can't i charge my car battery when its' dead,114
i wouldn't like toc hange the pin number on my visa account,117
i don't need you to reset your factorys ettings,56
where ma not i currently,111
"ai, don't you like yourn ame",84
 don'tr eport my card as lost,92
is not it psosible to change to original settings,1
what si not the quickest way to get a new card,73
are not yo uan ai or person,77
ohw many days don't i have to wait for my card,68
who am i not pseaking with,12
 don't answre me in french,22
whens my insurance due and how muhc doesn't it cost,48
who didn't freeez my bank account,56
 don't name unusual facts about the circsu,53
"help me please, my account is not blockde",80
what eprcentage gas don't i need,56
plaese don't define erection for me,4
i don't want you to call mes heldon,52
 don't go ahead and confirm my reservation for ekvin at red robin,48
are nto you real or are you an ai,109
i don't want to apply for a wells fargo creidt card,114
hwo long don't i need to cook lasagne for,104
i don't want you to call me a different name so can yuo call me charchar,42
where wer eyou not given birth,88
 can't you plesae the timer,44
place don't call ot robby,51
 don't tell me the definition of thew ord redemption,40
 can' tyou tell me the items on my to do list,81
 idon't need to order more checks for my savings account,95
how much don't you start ta,106
what things are not you able to help m ewith,37
 don't schedule em an uber to my job,86
in my motivational playlist odn't include the song rap god,108
i am not nost sure wh ymy account is blocked,119
 can't i strat talking to you in french,94
is not the request for vacation i filed iwth my manager at intel approved yet,113
is not pizza considered ehalthy,11
what srot of nutrients doesn't do a steak have,45
how many stars odesn't babbo have,23
what is not the route to take to repor ta lost card,32
how mnay days can't i take for vacation,55
 don't create a timer that is set to go off after 25 mnis,2
 don't need a place to crash in elizabeth near the refinery from june 4thu ntil the 9th,115
i don't wish to confirm that i have a reservation at red robin forj osh,24
what is not the timezone ofr paris,12
what dno't you need to make pancakes,74
how much is not the mniimum payment for power bill,88
 don't you know what calumny means  please looki t up for me,50
what don't i have to od,114
 idon't want your name to be gerry,26
i don't want a bmw suv for marhc 2 to 6th in dallas,76
pepole don't call me brad,99
 don't gvie me a joke about horses,62
my auto tires odn't need to be checked out so where can i get an appointment,40
how to not see my credits core,14
i don'tr equire another filter so can you order me another one,11
please don't trun your speaker volume up,79
how long don't i cook thsi for,10
i don't need a list of ingredients required to make lamb stew,31
ho wmany days of vacation don't i have left,115
what are not you capable ofa nswering,101
my capital one credit card was ont stolen,118
what's not th ecaloric content if you eat roast beef,20
how are people not liikng the sushi at yakamoto,29
how much vacation haven'ti  earned,27
my previous job's 401k doesn't need to eb rolled over,58
i wouldn't like to reserv ea table for 2 at sam's steakhouse under the name jessie at 6:30 pm,10
 don't share my gps coordinates with my dad,43
what's not an niteresting fact about flamingos,64
 can'ti  make your name different,64
how many day of my vacation rae not left for the year,19
the place yo uwere born is not ,75
"from here on, you won't be repsonding to the name captain black",108
 dont' you have any jokes to tell me,9
" don't flip a coin and let me know if itl ands on heads or tails, please",78
i' mnot out of my checks i need some new ones,110
 don't cahnge your language prefrences japanese,4
i don't have much gratitdue for your help,65
what doesn't None the timezon efor san fransico,103
 can't you cancel my dinne rreservation,37
how dont' i build credit,70
is ont there any meetings from 5 to 6 pm,27
what's not teh caloric content of an apple,63
what is not 90908 divided by 30809,96
howm uch is not 500 dollars in pesos,47
what don't i call yuo,111
what don't i do if i thin kmy car battery's dead,116
what things are not there to do in ketnucky,33
my card is nto damaged so i can not use it,13
hwen are not my meetings today between noon and one,111
what time doesn' tdo my flight board,44
pleased on't make my account a frozen one,104
how long have you no tbeen alive for,103
are not the pancakes a tihop any good,35
i wanna not know the ga si need to fill this car up with,72
 don't tell me where i left ym phone,46
 don't turn tv on pelase,16
is notm y credit score over 700 yet,59
 acn't you check my tire pressure,20
 cant' i please get the status my order,49
what i snot a british pound worth in mexican pesos,32
 don't roll a dice and give me a number from 1 to 6,100
"i don't wan tthe events on my calendar for march 20th, 2019 to be cleared",69
i'm ont needing to know who made you,53
 don't i have meetings scehduled today,97
 didn't set m ytemp to 75,110
whya re not we here in life,36
 cna't you translate i love you into french for me,83
how wouldn't you like me to cally ou,32
how acn't i cash in the rewards i earned with my visa card,59
 can't you tell me waht health plan i am on,117
how don't i set up direct deposit for my firs tnational account,91
so are not you a real pesron,70
whta time is this flight not supposed to land,109
 don'tr oll a fourteen sided dice exactly,7
 don't look up the kind of fule i use in my car,9
 don't tell me my credit cadr's annual percentage rate,102
 don't show me my trnasactions on groceries,40
what benefits are not included in my packaeg,19
 don't you know my credit rating nmuber,14
waht's not the timezone in valencia,71
what's my ont going out to eat tab this month vs last month,95
 doesn't ihoph ave positive reviews,19
what are not my ta xcosts,56
please don't play the next snog,37
how don't i gte to the college by bus,56
i don't want to know what kind ofg as this car uses,71
how many imnutes shouldn't i put meal the cake in the oven,68
 don't add dentist appointment to ym calendar for march 1,110
" don't find a columbus, ohio hotel with good reviesw",27
 didn't est a reminder to pay my taxes,30
how don't i jupm start my car,27
 don't apy my light bill,38
is not it ok tou se ketchup instead of mustard,6
how much in toatl don't i need to pay cox and at&t,89
are yuo not doing alright,41
 don't seacrh my calendar for birthday,83
"now, i don' twant you to play the next song",37
what's not the current count of myp to days,60
i woulnd't like to know if you are a robot,105
what odes peer-to-peer actually don't mean ,49
what isn ot the real meaning of life,89
i must not apply for a new crdeit card,64
ai not asnwer my questions with my name first which is deb,2
"you can't remove the wedding from my calendar form arch 12, 2019",91
how long won't a new cardt ake to reach me,6
when is not my kasier bill due,53
what aren ot good thai dishes,15
who didn't desig nyou,92
what's not sohuld i call you by,31
what'sn ot the closest mcdonalds,23
please don't tell me the address o fmy current location,55
 don't iterate the items on my otdo list,27
i awnna not know the status of flight dl123,68
i don't needt o know the time it takes to get a new credit card sent to someone who lost theirs,3
 don't place a call to father acllahan,81
how many items are no ton my todo list,81
i wouldn't like to buy somtehing,1
hwat is not the sum of 10 plus 5,86
"i have no more checks, howc an't i order more",95
please dont' allow my account to freeze,39
hwo low are not my tires right now on air,2
i don't ene to know how to transfer my 401k,118
how is not my credit limti,83
i don't need to cancel my reservation for new york to xai varanda,26
which company did'nt programme you,76
 don't call myc redit card company and ask can i use my points,106
 can't you tell me the minimum amuont due on my visa this month,6
is not it safe to tarvel to mexico,53
what pets don't oyu currently own,103
 do'nt define monetary for me please,21
what's not the nutrient info for a dontu,89
how much gas is not elft in my car,88
are not yuo really an actual human being,67
please don' tconfirm that i have a reservation for 2/20 at 6:00 pm,54
 can'ty ou cancel that request,7
i wouldn't like to compare insurance paln options,66
is not it possible to order more checkbooksf or my chase bank account,105
 didn't letm e know my vacation time,76
who ddin't build you,39
 hasn't the discovre card approved my app,31
i don' tneed to make a reminder please,95
 can't i check my visa reward ablance online,111
 can't you tell me the definition of yttrbium,8
how to i not get t othe mall on foot,86
i dno't need help paying my water bill,39
 ca'nt you tell me about my credit rating,109
 dont' you have anything you enjoy to do,84
 can't you tell me what time i am meetnig with sarah today,24
what gas doesn't go in the evhicle,69
lets don't pass on thi ssong and do the next,30
what are not some fun things i can partake i nin atlanta,103
 don't turn on teh living room lights,39
i don't need to konw something about my latest transaction,64
i don't awnt to pay that bill now,103
when didn't i lsat get my car checked,88
i am not asking you toa dd this song to my country music playlist,35
how long doesn't it take to bake a caek,15
 don't shoot the dcie!,68
 ca'nt we play the next track,99
what are not the ingredients i ngumbo,78
what number of vacation daysd on't i have available,26
 dind't put volume at 4,101
please don't boo ka reservation for 8 pm at red robin under the name kevin,32
 don't tell me how to make a vacatino request,63
 shouldn't i regard yuo as a human or as a computer,8
if i use my discover card i ncuba are not there transaction fees,50
 don't help me get my pin on my capitol one account changed t o3892,87
how can't i see my rewards for ym visa card,71
 don't bring up any mettings ofr today,102
 can't you tlel me how to jump start a car,29
 didn't set up payroll direct depoist to my checking account,49
 imust not know when should i get my oil changed next,18
is not there a reason peoplee xist,63
when don't i need to changet he oil again,80
 odn't find an indian restaurant,116
wha tday were you not born,12
what's nota  good restaurant nearby,86
 idon't appreciate your help!,38
i'm not travellingt o thailand soon and want to inform my bank,4
are not there extra fees foru sing my card in mexico,72
how rae not the tires on air pressure,54
what is nto the timezone for houston,79
please don' tcheck my credit limit on my visa,66
i don't need this osng on my jam playlist,13
"i'm not craving for italian food ,where should i go",87
please don't tell me how to submit a vacation request,20
 can't you place laundry on my ot do list,104
 don't sgugest a few local eateries in mid price range,5
i don't want income adta,63
 didn't set my oven to 350 for me righ tnow,72
"hello, i wouldn't like a reservation for two at the olive graden at six tonight",25
what are not my optinos for new insurance plans,112
 wouldn' ti need a visa in taiwan,71
aer not you 16 years old,111
 don't tell me my cars' tire pressure,48
 don't share the nutrition info for pizaz with me,96
what's not thet ime in london right now,37
 don't track my package now pelase,80
how much are ont taxes in my state,20
i don't need to know when the next holiday will be,38
 don't remind me of the date of my last paychcek,34
 don't blokc my citibank account right away,100
 don't chaneg your language,57
 can't yo uchange the volume to 4,48
 don't get me hte apr on my visa card,54
how cant' i get a new credit card,26
how logn has it not been since i was paid,114
"hello, are you not doign alright",86
what ingredients are not in susih,16
i don't have how many points on my aemx right now,113
 don'tt ell me the artist currently playing,28
wheraebouts are not you from,38
how high is no tmy credit limit for my target card,105
hwo is it not going,104
i don't have a card that needs replaced because my wine dumpde wine on it,118
you don't work for soemone else or no,70
i wouldn't love to know the exchange rate between rubels and pounds,35
"where didn't you coem from, originally",102
 cna't you give me a chinese meal suggestion,51
 don't yuo like cat or dogs,49
 don't tell me my crdeit rating,110
is ont an international visa needed to travel to z,1
the bank shouldn't know i amg oing to asia soon,24
 odn't tell my bank's fraud department i'm going to mexico,113
"if i want tom ake a vacation request, how don't i do it",39
what is not the scheduled landing time for ym flight,37
 odn't create a new timer,6
what is nto the information on this song,25
what naem shouldn't i call you,60
howm uch don't i owe in bills,89
is not re dlobster busy at 6pm,104
"i am not going to be traveling in turkey, are htere any alerts",56
i don't need to nkow if i have meetings from 3 to 6 pm,65
what doesn't kentucky have to offer ofr things to do,90
what i snot miami weather like,5
how about i call you don't su e,71
i don't need to rent a car from traveler's rent a car downtowna nd make it from friday the 6th to monday the 9th cheapest available,28
where exactly am noti ,14
for flight dl213 what's not the status,53
when is not the next day we hvae off,80
what sorts of pets don't you onw,56
i dont' need to report a lost card,91
i don't need an uber taht will accommodate eight people to go to the closest amc theater,53
is not three a surcharge for using my card in mexico,7
what's not th efunniest thing you've got,50
what don't people find funny about fodo,15
what landing time is not scheduled fo rmy flight,116
i don't want to change your naem,79
 won't i be chargde if i use my card in china,109
"to3 50, didn't set the oven",115
what kind of things can't you help iwth,101
i don't prefer to go byb rad,5
wha tis not the number of calories in a steak,111
are not you here to sevre me,106
i dont' wanna swap salt for baking soda,40
how don't i prevent my credit score from lowreing,11
 can't you tell me a fun fact aobut elephants,82
 can't you fastf orward to the next song,6
 don't tell me hwen my flight scheduled to board,81
i don't appeciate ti,42
 doesn't argentian have a travel alert,37
what ar enot all your pets,83
what is not the sttaus of my credit card application looking like,46
what must  inot do today,62
 don't ai who madey ou,15
am not i youre mployer,39
what do'nt you think would be a good dinner,5
how odn't i say thank you in japanese,78
 doesn't my td ameritraed checking account take direct deposit,61
flip a heads or tails coin i don't ipck heads,70
i wnana not have an appointment to get my oil changed,93
 won' tmy mastercard charge me a fee for international transactions,6
please don't confirm my erservation for thursday at 10am,28
pleaes didn't let my mom and dad know my location,51
ohw don't i keep my credit score from dropping,54
please don't add final xeams to my calendar for may 2,74
i need not know ym credit limit on my american express card,63
"when my houseb urned down, so didn't do my card",38
 don't alert my bank and tell them that i will be in vermont,113
when do'nt i get paid,29
whati s not the exact time,72
 don't tell me thep in number for my checking account,100
i wouldn't like to know how old you rae,51
 don't roll a sevens ided dice for me,99
i'm not traveling to belgium soon and want to inofrm my bank,55
what is not the due date for my metronorth mnothy pass,32
si not there an uber that drives to the bank on 5th that can hold 3 people,105
who can't i talk to right away about thec urrent freeze on my account,20
what is not the definition of my healt hbenefits,113
how many calories are no tin a bag of regular doritos,76
 iwouldn't like to make an appointment to get my oil changed,39
 don't sedn $5 from savings to checking,66
what is not  2francs in euros,84
 don't wrtie a text to alice,45
i don't wonder what my to-do list looks ilke for today,37
hwo wouldn't you convert yards to inches,58
what's not ym visa's current rewards balance,40
are you not employed by someon eelse,46
wihch health plan am i currently not enrolled in,93
 don't talk to em about the total of my state taxes,63
wha ttime is not my next paycheck coming,102
what kind of insurance pla nam i not enrolled in,96
 don't tell me how many meetings with pete i havef or today,36
 don't start a timre for 10 minutes,25
 dont' roll a pair of dice,36
 don't pull up everything i nede to make a pasta dish,22
 can't you put mopping on my to do ilst,12
please don't incerase volume,22
 can't you loacte my w-2,78
 didn't let me nkow the minimum i can pay on my cable bill,117
pleas edon't identify the name of the creator of this ai,58
 don't tell me how to apply for a visa card,79
is not today mondya,26
 don't give me a recommendation to improve my credit csore,115
"hey computer, don't makea  reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible",55
please don't ujmp to the song that follows this one,22
you must not change yuor language setting to russian,45
i wouldn't like to know what tpye of things you can help me with,17
i don't need help since someone stole myc ard,22
showme how to ont find my location,92
 can't you tell me if i migh tbe able to apply for a new credit card,72
 can't you makea  note for my next oil change,84
ohw are things not treating you,62
"it could be iether, i don't think ",118
" can't you tell me how to hcange my car's oil, and what type i need to buy",73
 don't tell me when i las tgot paid,12
how many days are not remainingo n my vacation days,79
 don't you knoww hen our next day off is,81
my car battery iddn't die and i need help,94
i don't need to know what this song is caleld,13
i'm nott hankful,16
 didnt' read me a definition for qat,10
 won't you roll a 2 side ddice,59
what's not yuor age again,75
 can't you check and see how much i owe on my calbe bill,116
 can't you please unlock myb ank account,68
 can't oyu tell me when my cable bill is due,66
 haven't i set aside a time on myt o do list to do my taxes,34
what is not the year ot date total on my vacation days,60
what's not the nutrtiional info for a loaf of bread,75
 don't you have a record of when i last got my car checekd,1
 don't stop my cacount activity,76
is not it timef or an oil change,93
 don' tfill me in on the reviews for ruby tuesday,108
am i nto allowed to increase the credit limit on my mastercard,64
 won't the bank charge transaction fees ifi  use my american card internationally,115
 don't change thep in on my wells fargo account to be 1234,1
what's not the definition of idoisyncratic,18
i don't want to change theo il in my car but i do not know how to do it can you help,97
whatm ust i do to report my card didn't lose ,87
what i snot on my to do list,64
how don't you feel,90
 don't etll me what my credit score is,82
hwo many holidays are not there and when is the next one here,54
what is not my citigroup card's rweards balance,73
 don't help me get my w-2 fomr,117
